正面	背面	类型	来源
Why did you choose this topic?	I chose this topic because population aging and post-pandemic health risks have made age-friendly community development an urgent issue. However, in Henan Province, there has been no systematic and evidence-based evaluation system that can comprehensively assess whether urban communities are truly age-friendly. So, this research was designed to fill that gap by developing a structured evaluation system that is both scientifically grounded and practically useful.	防守问题	Notion viva准备
Why did you choose Henan Province?	I chose Henan Province because it is one of the most populous provinces in China and is facing significant aging pressure. At the same time, Henan has diverse urban community types, which makes it a meaningful and representative context for studying age-friendly community development. So, Henan is both a practical and theoretically valuable case for building a locally adapted evaluation system.	防守问题	Notion viva准备
Why focus on the post-pandemic era?	I focus on the post-pandemic era because COVID-19 and continuing public health risks have fundamentally changed what an age-friendly community should prioritize. In the past, age-friendly communities were often discussed mainly in terms of accessibility and physical design. But in the post-pandemic context, health services, emergency response, resilience, and care accessibility have become much more central. Therefore, the post-pandemic era is not just a background condition; it changes the priority structure of the whole evaluation system.	防守问题	Notion viva准备
Why did you use SciBERT?	I used SciBERT because it is a scientific text-oriented language model, which makes it more suitable than general NLP tools for analyzing academic and technical literature. Since my study needed to extract indicators from a large body of scientific papers, policy documents, and reports, SciBERT helped reduce reliance on purely manual selection and improved the systematicity and reproducibility of indicator extraction.	防守问题	Notion viva准备
Why did you combine SciBERT with Fuzzy Delphi, hierarchical clustering, and AHP?	I used a mixed-method design because no single method could solve the whole problem. SciBERT helped me extract candidate indicators systematically from large-scale text data. Fuzzy Delphi was then used to validate and refine these indicators through expert consensus. Hierarchical clustering helped organize the indicators into a meaningful framework. Finally, AHP was used to determine the relative importance of the indicators. So, each method played a different but complementary role in building a rigorous and practical evaluation system.	防守问题	Notion viva准备
Why not rely only on expert judgement?	If I relied only on expert judgement, the framework might be more subjective and less systematic in its early-stage indicator selection. By adding SciBERT-based text mining first, I was able to build the framework from a much broader evidence base. Then expert judgement was used to refine and validate the results. So, the combination balances computational breadth with expert depth.	防守问题	Notion viva准备
What is the main innovation of your thesis?	The main innovation of my thesis lies in three aspects. First, it develops a locally adapted evaluation system for age-friendly urban communities in Henan Province in the post-pandemic era. Second, it integrates artificial intelligence-based text mining with expert validation and decision analysis, which is a methodological innovation. Third, it empirically shows that health services and emergency response should be treated as central priorities in post-pandemic age-friendly community development, rather than secondary considerations.	防守问题	Notion viva准备
What is your core contribution?	The core contribution of my thesis is the development and validation of a post-pandemic age-friendly urban community evaluation system for Henan Province. This system is based on a mixed-method framework that integrates SciBERT, expert validation, hierarchical clustering, and AHP, and it provides both theoretical insight and practical tools for evidence-based assessment and improvement of communities.	防守问题	Notion viva准备
Why are health services and emergency response so important in your framework?	They are so important because the post-pandemic context has made health security and crisis resilience much more central to elderly daily life. My results show that health services and emergency response together account for nearly 40 percent of the total framework weight. This suggests that an age-friendly community today must not only be accessible and comfortable, but also capable of providing health support, emergency preparedness, and resilience under public health risk.	防守问题	Notion viva准备
How do you validate your framework?	I validated the framework in three ways. First, the extracted indicators were screened and refined through expert consensus using the Fuzzy Delphi Method. Second, the weighting structure was tested through AHP consistency checks. Third, I applied the final framework to three representative communities in Henan Province. The case study results showed clear differences in performance levels, which confirmed the framework's discriminatory power and practical applicability.	防守问题	Notion viva准备
Why did you choose those three communities?	I chose those three communities because they represent different development conditions and community types in Henan Province. This allowed me to test whether the framework could distinguish communities with different strengths, weaknesses, and development patterns. In that sense, the cases were not chosen randomly, but strategically, in order to validate the framework across varied contexts.	防守问题	Notion viva准备
What are the limitations of your study?	This study has several limitations. First, it focuses on urban communities in Henan Province, so its direct applicability to other regions still needs further testing. Second, although the framework is comprehensive, local implementation conditions may vary across different cities and communities. Third, the study is based on a cross-sectional validation rather than long-term tracking, so future longitudinal studies could further strengthen the framework. Fourth, while SciBERT improves systematic extraction, expert interpretation is still necessary to ensure contextual appropriateness.	防守问题	Notion viva准备
If you could improve the study in the future, what would you do?	If I could extend this study, I would do three things. First, I would test the framework in more regions beyond Henan to examine broader generalizability. Second, I would conduct longitudinal studies to observe how age-friendly community performance changes over time. Third, I would further explore how smart community technologies and AI-assisted services can be integrated into practical elderly care and emergency management systems.	防守问题	Notion viva准备
What is the practical significance of your thesis?	The practical significance of my thesis is that it provides policymakers, urban planners, and community managers with a structured and evidence-based tool for assessing and improving age-friendly communities. Instead of relying on general discussion, they can use this framework to identify priority areas, compare community performance, and allocate resources more strategically.	防守问题	Notion viva准备
Why did you not use only a traditional literature review?	A traditional literature review is valuable, but by itself it can be limited by subjectivity, selection bias, and difficulty in handling large volumes of scientific text. Since my study aimed to build a systematic evaluation system, I needed a method that could process a broader evidence base in a more consistent way. That is why I used SciBERT first for large-scale indicator extraction, and then combined it with expert validation to ensure both breadth and relevance.	防守问题	Notion viva准备
Why did you not use only machine learning without expert validation?	If I had used only machine learning, the framework might have been technically systematic but weaker in contextual appropriateness and practical feasibility. Age-friendly community evaluation is not only a text-mining problem; it also requires expert judgement about policy relevance, implementation practicality, and cultural appropriateness. Therefore, expert validation through the Fuzzy Delphi Method was necessary to turn extracted indicators into a meaningful and usable framework.	防守问题	Notion viva准备
